date,day,week,ipeds_id,university,enrollment,url,total_tests,positive_tests
2020-10-14,Wednesday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,5.0,0.0
2020-10-15,Thursday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1153.0,0.0
2020-10-16,Friday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,292.0,0.0
2020-10-17,Saturday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-10-18,Sunday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,971.0,0.0
2020-10-19,Monday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,351.0,0.0
2020-10-20,Tuesday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1098.0,0.0
2020-10-21,Wednesday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,14.0,0.0
2020-10-22,Thursday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1136.0,0.0
2020-10-23,Friday,11,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,289.0,0.0
2020-10-24,Saturday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-10-25,Sunday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,968.0,0.0
2020-10-26,Monday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,361.0,0.0
2020-10-27,Tuesday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1077.0,0.0
2020-10-28,Wednesday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,3.0,0.0
2020-10-29,Thursday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1142.0,0.0
2020-10-30,Friday,12,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,272.0,0.0
2020-10-31,Saturday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-01,Sunday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,937.0,0.0
2020-11-02,Monday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,356.0,0.0
2020-11-03,Tuesday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1075.0,0.0
2020-11-04,Wednesday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-05,Thursday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1108.0,0.0
2020-11-06,Friday,13,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,310.0,0.0
2020-11-07,Saturday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-08,Sunday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,939.0,0.0
2020-11-09,Monday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,361.0,0.0
2020-11-10,Tuesday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1051.0,1.0
2020-11-11,Wednesday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,2.0,0.0
2020-11-12,Thursday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1119.0,0.0
2020-11-13,Friday,14,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,289.0,0.0
2020-11-14,Saturday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-15,Sunday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,930.0,3.0
2020-11-16,Monday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,383.0,3.0
2020-11-17,Tuesday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1026.0,1.0
2020-11-18,Wednesday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,23.0,0.0
2020-11-19,Thursday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,355.0,1.0
2020-11-20,Friday,15,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1015.0,0.0
2020-11-21,Saturday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-22,Sunday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,445.0,0.0
2020-11-23,Monday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,316.0,0.0
2020-11-24,Tuesday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,344.0,0.0
2020-11-25,Wednesday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,26.0,0.0
2020-11-26,Thursday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-27,Friday,16,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-28,Saturday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-29,Sunday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-11-30,Monday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,158.0,1.0
2020-12-01,Tuesday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,350.0,0.0
2020-12-02,Wednesday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,300.0,1.0
2020-12-03,Thursday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-04,Friday,17,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,1.0
2020-12-05,Saturday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-06,Sunday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,1.0
2020-12-07,Monday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-08,Tuesday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,1.0
2020-12-09,Wednesday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-10,Thursday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-11,Friday,18,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-12,Saturday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-13,Sunday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-14,Monday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-15,Tuesday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-16,Wednesday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-17,Thursday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-12-18,Friday,19,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
