date,day,week,university,enrollment,url,total_tests,positive_tests
2020-12-18,Friday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-19,Saturday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-20,Sunday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-21,Monday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-22,Tuesday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-23,Wednesday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-24,Thursday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-25,Friday,20,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-26,Saturday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-27,Sunday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-28,Monday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-29,Tuesday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-30,Wednesday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-31,Thursday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-01,Friday,21,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-02,Saturday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-03,Sunday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-04,Monday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,564.0,11.0
2021-01-05,Tuesday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2021-01-06,Wednesday,22,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
